| location | zone | found | suggested | note |
| apps/web-app/TERMS_OF_SERVICE.md:42 | prose | licence | license | — |
| apps/web-app/TERMS_OF_SERVICE.md:107 | prose | colours | colors | — |
| apps/web-app/TERMS_OF_SERVICE.md:131 | prose | colour | color | — |
| apps/web-app/TERMS_OF_SERVICE.md:132 | prose | colours | colors | — |
| apps/web-app/TERMS_OF_SERVICE.md:154 | prose | licence | license | — |

Files swept: 97 · candidates: 421 in 56 files
Suppressed zones (code/link, --all shows them): 24 · dictionary: 1847 entries
Most frequent: colour→color 201 · colours→colors 81 · behaviour→behavior 19 · normalised→normalized 14 · centre→center 14 · labelled→labeled 11 · favourites→favorites 10 · favourite→favorite 8 · centred→centered 5 · grey→gray 4 · coloured→colored 3 · cancelled→canceled 3
Candidates, not findings — confirm each against ../american-english.md before filing.
